nink_id,object,address,region_name,declared,announced,group,type,category,removed,is_removed,changes,lng,lat,heading,pitch,zoom,centroid_lng,centroid_lat,zone_id,zone_name
142а,Къща,"ул.""Цар Симеон"" № 180",Възраждане,Писмо № 384 от 30.01.1990 г.,,Територията около къщата-музей на Георги Димитров,единичен паметник на културата,ансамблово,,0,,23.311240283968463,42.703068064769866,38.05408252974238,13.510809117501703,1.33,23.311334929602573,42.70319605905738,Ж-5,Зона на Работническото Движение
142б,Къща,"ул.""Цар Симеон"" № 178",Възраждане,Писмо № 384 от 30.01.1990 г.,,Територията около къщата-музей на Георги Димитров,единичен паметник на културата,ансамблово,,0,,23.311407348178815,42.70304261544563,14.337622008858617,18.624962482762673,1.0,23.311452440733152,42.703185193942346,Ж-5,Зона на Работническото Движение
142в,Ъглова къща,"ул.""Цар Симеон"" № 170 / ъг.ул.""Странджа""",Възраждане,Писмо № 384 от 30.01.1990 г.,,Територията около къщата-музей на Георги Димитров,единичен паметник на културата,ансамблово,,0,,23.31270136083504,42.70284405071829,0.7830312848568644,7.0946054421930125,1.0,23.31269998744723,42.70297800568755,Ж-5,Зона на Работническото Движение
142г,Къща и работилница,"ул.""Отец Паисий"" № 77",Възраждане,Писмо № 384 от 30.01.1990 г.,,Територията около къщата-музей на Георги Димитров,единичен паметник на културата,ансамблово,,0,,23.313907641022524,42.7032646667055,-63.67718467355167,6.079068454422869,1.0,23.31378543795961,42.703299855348945,Ж-5,Зона на Работническото Движение
142д,Историческо /лобно/ място на св.Никола Софийски,"ул.""Цар Симеон"" № 125",Възраждане,Писмо № 384 от 30.01.1990 г.,,Територията около къщата-музей на Георги Димитров,единичен паметник на културата,ансамблово,,0,,23.314340979846286,42.70257232194876,-166.66604280083013,-4.665589791906591,1.66,23.314311724161396,42.7023482719052,Ж-5,Зона на Работническото Движение
143,"Жилищно-търговска сграда, б.печатница на ЦК на БКП свалена",ул.”Отец Паисий” №87,Възраждане,писмо №1787 от 21.05.1976г. №933,ДВ бр.40 от 1978г. №500 ДВ бр.86 от 1979г. №75,,исторически,национално,протокол на НСОПК от 21.10. 2006г.,1,,23.314132264687945,42.70409630353529,-78.33120279693479,-2.1931459050707827,1.0,23.313839559991386,42.704120056941555,Ж-5,Зона на Работническото Движение
144,Жилищна сграда /живял е Димитър Цанев/,ул.”Отец Паисий” №84,Възраждане,писмо №1787 от 21.05.1976г. №932,ДВ бр.40 от 1978г. №501,,исторически,местно,,0,,23.313987573823734,42.70356060901482,71.66374653382965,9.341767096085007,1.0,23.314316644385794,42.70360159248606,Ж-5,Зона на Работническото Движение
145,"Училищна сграда, б.Трета прогимназия","бул.”Хр.Ботев” №109/дубл./ ул.""Ил.Макариополски/ ул.”Пордим”",Възраждане,писмо №1787 от 21.05.1976г. №756,ДВ бр.40 от 1978г. №451,,архитектурно-строителен ,местно,,0,,23.31655131662319,42.70284331183181,-8.57481409961992,16.942671754334302,1.0,23.31641002258646,42.70327325949011,А-2,Зона на Старите Пазарища
146,Жилищно-търговска сграда,ул.”Цар Симеон” №134/ ул.”Хр.Ботев”,Възраждане,писмо №1787 от 21.05.1976г. №755,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.316492953762694,42.70221211114412,36.616434989312026,9.8423298560774,1.66,23.316495396797947,42.70236394894451,А-2,Зона на Старите Пазарища
147,Жилищно-търговска сграда,ул.”Хр.Ботев” №107,Възраждане,писмо №1787 от 21.05.1976г. №756,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.316780634724296,42.70251856203723,-51.7153188761227,12.85182110293851,1.66,23.316557117510108,42.70263440353434,А-2,Зона на Старите Пазарища
148,"Жилищно-търговска сграда, б.на Джапунови",ул.”Цар Симеон” №116 /ул.”Братя Миладинови” №47,Възраждане,"писмо №1787 от 21.05.1976г. №912,913",ДВ бр.40 от 1978г. №152,,архитектурно-строителен ,местно,,0,,23.318178961586682,42.70195029055743,-21.095181736513506,18.083484095801666,1.33,23.318061345216588,42.702105972177755,А-2,Зона на Старите Пазарища
149,Жилищно-търговска сграда,ул.”Цар Симеон” №118,Възраждане,писмо №1787 от 21.05.1976г. №914,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.317903082822795,42.702051203377536,-14.948791026825157,30.280158591971823,1.0,23.31787059784277,42.70213537342334,А-2,Зона на Старите Пазарища
150,Жилищно-търговска сграда,ул.”Цар Симеон” №112,Възраждане,писмо №1787 от 21.05.1976г. №910,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.318374072942106,42.7019795537102,43.111278152426856,27.17434352227859,0.6699999999999999,23.318475839889445,42.702032345581415,А-2,Зона на Старите Пазарища
151,"Жилищно-търговска сграда, б.на братя Бисеви",ул.”Цар Симеон” №114/ ул.”Братя Миладинови”,Възраждане,п.№1787 от 21.05.1976г. №911,ДВ бр.40 от 1978г. №153,,архитектурно-строителен ,местно,,0,,23.318143869081155,42.70201896607957,74.85680218333248,11.09719941029374,1.0,23.318337124560895,42.70205718594344,А-2,Зона на Старите Пазарища
152,"Жилищна сграда, б.на Маджаров",ул.”Цар Самуил” №125,Възраждане,писмо №2637 от 07.06.88г.,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.31957644528768,42.703020185671605,-77.95791378093402,31.99273391836356,1.0,23.319425042023166,42.703028152707695,А-2,Зона на Старите Пазарища
153,Жилищно-търговска сграда,"ул.”Цар Симеон” №106, вх.А,Б/ ул.”Г.Кирков”",Възраждане,писмо №1787 от 21.05.1976г. №232,ДВ бр.40 от 1978г. №189,,архитектурно-строителен ,местно,,0,,23.319098193319522,42.701818510825426,-33.38792860758981,20.86769073949004,1.66,23.319048512802002,42.701991041335916,А-2,Зона на Старите Пазарища
154,"Жилищно-търговска сграда, б.на Груеви",ул.”Цар Симеон” №198 /ул.”Княз Борис І”,Възраждане,писмо №1787 от 21.05.1976г. №232,,,архитектурно-строителен ,местно,,0,,23.32033670865997,42.70159753237165,-21.942836409223165,19.4990959774338,1.33,23.32023563953135,42.70177207748852,А-2,Зона на Старите Пазарища
155,"Жилищно-търговска сграда, б.на Щерев, Димитров","бул.”Г.Кирков” №42, вх.А,Б",Възраждане,писмо №1787 от 21.05.1976г. №213,ДВ бр.40 от 1978г. №188,,архитектурно-строителен ,местно,,0,,23.31957872552425,42.70218449264159,100.84132951768242,20.84701177990237,1.0,23.31972121526511,42.702169571811204,А-2,Зона на Старите Пазарища
156,Жилищно-търговска сграда,ул.”Г.Кирков” №46,Възраждане,писмо №2637 от 07.06.88г.,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.319812246353308,42.70256621040151,132.45941494841787,23.311755027190348,1.0,23.319904076601784,42.7024780277318,А-2,Зона на Старите Пазарища
157,Жилищно-търговска сграда,ул.”Г.Вашингтон” №37,Възраждане,писмо №2637 от 07.06.88г.,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.32172814052024,42.701901585423954,-84.37845606788612,27.27902502697286,0.66,23.32158130749896,42.701932262850974,А-2,Зона на Старите Пазарища
158,"Жилищно-търговска сграда, б.на Бохор Ешкенази","ул.”Цар Симеон” №88,90",Възраждане,писмо №1787 от 21.05.1976г. №229,ДВ бр.40 от 1978г. №187,,архитектурно-строителен ,местно,,0,,23.321154183996445,42.70150471219723,1.9996550259543375,24.452014598445686,0.66,23.321202858946492,42.70162654730549,А-2,Зона на Старите Пазарища
159,Жилищна сграда,ул.”Г.Вашингтон” №26,Възраждане,писмо №2637 от 07.06.88г.,,,исторически,местно /предв.кат./,,0,,23.32192800000007,42.70248839999999,139.3383303250568,17.329288333829496,1.33,23.322054712304272,42.70239918632744,А-2,Зона на Старите Пазарища
160,"Жилищно-търговска сграда, б.на Райна Данаилова","ул.”Г.Димитров” /""Княгиня Мария Луиза""/ №65/ ""Св.св.Кирил и Методий"" ",Възраждане,писмо №1787 от 21.05.1976г. №229,ДВ бр.40 от 1978г. №356,,архитектурно-строителен ,местно,,0,,23.323201884712034,42.70286528382027,-113.91964805661,25.52509747644734,1.0,23.32293172772469,42.702802349635974,А-2,Зона на Старите Пазарища
161,Жилищно-търговска сграда,"бул.”Г.Димитров” /""Княгиня Мария Луиза""/ №63",Възраждане,писмо №1787 от 21.05.1976г. №565,ДВ бр.40 от 1978г. №355,,архитектурно-строителен ,местно,,0,,23.323181081206485,42.702589315401845,-55.00403369348964,22.5542707305072,2.33,23.322925215873443,42.70269897491654,А-2,Зона на Старите Пазарища
162,"Жилищно-търговска сграда, б.на Хаджи Калчо","бул.”Г.Димитров” /""Княгиня Мария Луиза""/  №61",Възраждане,писмо №1787 от 21.05.1976г. №564,ДВ бр.40 от 1978г. №354,,архитектурно-строителен ,местно,,0,,23.323181081206485,42.702589315401845,-95.1444586014889,10.004301206685788,2.0,23.322902542787688,42.702583904276764,А-2,Зона на Старите Пазарища
163,"Жилищно-търговска сграда, б.на Меворах","бул.”Г.Димитров” /""Княгиня Мария Луиза""/ №59",Възраждане,писмо №1787 от 21.05.1976г. №563,ДВ бр.40 от 1978г. №353,,архитектурно-строителен ,местно,,0,,23.323123992461767,42.70240053127387,-75.0088001378852,7.0706300751565685,1.66,23.322854808243466,42.70245173809198,А-2,Зона на Старите Пазарища
164,Жилищно-търговска сграда,"бул.”Г.Димитров” /""Княгиня Мария Луиза""/ №47",Възраждане,писмо №1787 от 21.05.1976г. №562,ДВ бр.40 от 1978г. №352,,архитектурно-строителен ,местно,,0,,23.322899048242906,42.70167647488243,-93.15936031578913,20.95229176957103,2.0,23.322614782803765,42.70171288802969,А-2,Зона на Старите Пазарища
165,"Административна сграда, б.банка","бул.”Г.Димитров” /""Княгиня Мария Луиза""/ №45",Възраждане,писмо №1787 от 21.05.1976г. №561,ДВ бр.40 от 1978г. №351,,архитектурно-строителен и  художествен,местно,,0,,23.322806814402608,42.70138754346002,-65.18540569651846,20.01289721251894,1.66,23.32253198668078,42.701537405274124,А-2,Зона на Старите Пазарища
166,Административно-търговска сграда,"бул.”Г.Димитров” /""Княгиня Мария Луиза""/ №43 /ул.”Цар Симеон”",Възраждане,писмо №1787 от 21.05.1976г. №560,ДВ бр.40 от 1978г. №350,,архитектурно-строителен ,местно,,0,,23.322726330027532,42.7011322303674,-40.86749200253117,13.936648248755295,2.0,23.322510020870787,42.70136760462058,А-2,Зона на Старите Пазарища
167,"Административно-търговска сграда, б.хотел свалена",бул.”Г.Вашингтон” №14/ ул.”Цар Симеон”,Възраждане,писмо №2637 от 07.06.88г.,,,архитектурно-строителен ,за сведение /предв.кат./,писмо №3142 от 10.09.92г.,1,,23.32157079500644,42.701436210864024,147.50678468214917,17.224362161711134,1.33,23.321716070401138,42.70129534925004,А-2,Зона на Старите Пазарища
168,"Жилищно-търговска сграда, б.на Юда Адатов",ул.”Цар Симеон” №63,Възраждане,писмо №1787 от 21.05.1976г. №557,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.322250352623538,42.70132328859163,-163.0723890591865,19.507414960937773,0.66,23.32230705686625,42.7012110686694,А-2,Зона на Старите Пазарища
169,"Жилищно-търговска сграда, б.на Самуил Адатов",ул.”Цар Симеон” №65,Възраждане,писмо №1787 от 21.05.1976г. №558,,,архитектурно-строителен ,местно /предв.кат./,,0,,,,,,,23.321792348811798,42.70105090488935,А-2,Зона на Старите Пазарища
170,Жилищно-търговска сграда,ул.”Цар Симеон” №61,Възраждане,писмо №1787 от 21.05.1976г. №556,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.322703175290822,42.701248027916186,-120.72279208332843,11.08991677524597,1.33,23.32249866330309,42.70117218298622,А-2,Зона на Старите Пазарища
171,Административно-търговска сграда,"бул.”Г.Димитров” /""Княгиня Мария Луиза""/  №31",Възраждане,писмо №1787 от 21.05.1976г. №555,ДВ бр.40 от 1978г. №348,,архитектурно-строителен ,местно,,0,,23.322530817280267,42.70050086282747,-79.58837995133774,15.261611949250254,2.0,23.322269550303826,42.70056785710869,А-2,Зона на Старите Пазарища
172,Административно-търговска сграда,"бул.”Г.Димитров” /""Княгиня Мария Луиза""/ №29",Възраждане,писмо №1787 от 21.05.1976г. №554,ДВ бр.40 от 1978г. №347,,архитектурно-строителен ,местно,,0,,23.32250094727715,42.70040440389776,-75.69004919414104,19.697118807385085,2.0,23.32221931158524,42.70049491149954,А-2,Зона на Старите Пазарища
173,"Жилищно-търговска сграда, б.здание на джамията Баня баши","бул.”Г.Димитров” /""Княгиня Мария Луиза""/ №27",Възраждане,писмо №1787 от 21.05.1976г. №553,ДВ бр.40 от 1978г. №346,,архитектурно-строителен ,местно,,0,,23.322473792728942,42.700316713961655,-68.86077326291867,22.61007204992272,2.33,23.322207866919836,42.70041247253053,А-2,Зона на Старите Пазарища
174,Административно-търговска сграда,"бул. ”Екз.Йосиф” №23/ бул.”Г.Димитров”/ ""Княгиня Мария Луиза""/",Възраждане,писмо №1787 от 21.05.1976г. №552,ДВ бр.40 от 1978г. №345,,архитектурно-строителен ,местно,,0,,23.322357745191994,42.70017712782872,-35.557518886247266,15.366084557052256,2.0,23.32218437806826,42.70034394421298,А-2,Зона на Старите Пазарища
175,Административно-търговска сграда,ул.”Екз.Йосиф” №21,Възраждане,писмо №1787 от 21.05.1976г. №551,ДВ бр.40 от 1978г.№344,,архитектурно-строителен ,местно,,0,,23.32200732670208,42.700263609706795,13.306008546732041,20.85629574119976,0.66,23.321997768040625,42.700440781201785,А-2,Зона на Старите Пазарища
176,Административно-търговска сграда,ул.”Екз.Йосиф” №19,Възраждане,писмо №1787 от 21.05.1976г. №550,ДВ бр.40 от 1978г. №343,,архитектурно-строителен ,местно,,0,,23.32177067783687,42.70030948284467,13.55623746547533,15.451427605990629,0.66,23.321770742524706,42.70043054684622,А-2,Зона на Старите Пазарища
177,"Жилищно-търговска сграда, б.на Нисим Шомон",бул.”Г.Вашингтон” №19 /ул.”Екз.Йосиф”,Възраждане,писмо №1787 от 21.05.1976г. №205,ДВ бр.40 от 1978г. №176,,архитектурно-строителен ,местно,,0,,23.32127246423647,42.70040133292661,-25.908380440098774,25.531819131653155,1.0,23.321146040479398,42.70052737921434,А-2,Зона на Старите Пазарища
178,"Учебна сграда, б.Еврейско духовно училище",ул.”Екз.Йосиф” №15,Възраждане,писмо №1787 от 21.05.1976г. №206,ДВ бр.40 от 1978г. №177,,архитектурно-строителен ,местно,,0,,23.32092660466321,42.700459772221954,12.178941194977751,28.650829290621328,1.0,23.32092804539341,42.700596516095416,А-2,Зона на Старите Пазарища
179,Жилищно-търговска сграда,ул.”Екз.Йосиф” №13,Възраждане,писмо №1787 от 21.05.1976г. №207,ДВ бр.40 от 1978г. №178,,архитектурно-строителен ,местно,,0,,23.32080688213341,42.700478383332964,-3.8339209132979097,22.112100180927545,1.0,23.32073360436298,42.70061610276643,А-2,Зона на Старите Пазарища
180,"Жилищно-търговска сграда, б.на Бениамин Моше Леви",ул.”Екз.Йосиф” №11,Възраждане,писмо №1787 от 21.05.1976г. №208,ДВ бр.40 от 1978г. №179,,архитектурно-строителен ,местно,,0,,23.32063455224727,42.70050591902854,21.104685231918587,21.730463581489456,1.0,23.32061813797607,42.700645600086496,А-2,Зона на Старите Пазарища
181,"Жилищно-търговска сграда, б.на Нисим Гешом",ул.”Екз.Йосиф” №9,Възраждане,писмо №1787 от 21.05.1976г. №209,ДВ бр.40 от 1978г. №180,,архитектурно-строителен ,местно,,0,,23.3203959612365,42.70054599514267,32.4147072039824,25.038904501744398,1.0,23.320425657451054,42.70065702681782,А-2,Зона на Старите Пазарища
182,"Жилищна сграда, б.на Едуард Сарафян",ул.”Княз Борис І” №164,Възраждане,писмо №1787 от 21.05.1976г. №210,ДВ бр.40 от 1978г. №181,,архитектурно-строителен ,местно,,0,,23.320279231888552,42.70141250551814,102.59354124018611,12.958464894008587,1.0,23.320416798044153,42.70139297892271,А-2,Зона на Старите Пазарища
183,"Административна сграда, б.на Папанчеви",бул.”Г.Вашингтон” №31/ ул.”Цар Симеон”,Възраждане,писмо №1787 от 21.05.1976г. №211,ДВ бр.40 от 1978г. Няма в ДВ /писмо № 9400-132/ 15.02.2012 г.,,архитектурно-строителен ,местно,,0,,23.32157079500644,42.701436210864024,-126.4581196104863,12.278789758351929,1.33,23.32139123284259,42.701306700866446,А-2,Зона на Старите Пазарища
184,"Жилищно-търговска сграда, б.на Владимир Игов",ул.”Цар Симеон” №81,Възраждане,писмо №1787 от 21.05.1976г. №218,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.319750529736442,42.701730688184526,-157.3768346403611,20.108411529715347,1.0,23.31972713244598,42.70162932973792,А-2,Зона на Старите Пазарища
185,"Жилищно-търговска сграда, б.на Соломон Кокашвели","ул.”Княз Борис І” №143, вх.А и Б/ ул.”Екз.Йосиф",Възраждане,писмо №1787 от 21.05.1976г. №212,ДВ бр.40 от 1978г. №182,,архитектурно-строителен ,местно,,0,,23.3199695397999,42.70061757927368,-9.476736382638988,23.64677868042619,1.33,23.319874904194226,42.700772178904536,А-2,Зона на Старите Пазарища
186,"Жилищно-търговска сграда, б.на Хлимови",ул.”Екз.Йосиф” №5,Възраждане,писмо №1787 от 21.05.1976г. №214,ДВ бр.40 от 1978г. №183,,архитектурно-строителен ,местно,,0,,23.31945646207919,42.70070340102735,31.030866044480966,18.88531029010288,1.0,23.319474053016016,42.70082768774897,А-2,Зона на Старите Пазарища
187,"Жилищно-търговска сграда, б.на Панижел",ул.”Екз.Йосиф” №3,Възраждане,писмо №1787 от 21.05.1976г. №213,ДВ бр.40 от 1978г. №184,,архитектурно-строителен ,местно,,0,,23.319336900000053,42.7007234,23.620772718857985,21.30420402830534,1.0,23.319340705101258,42.700858201713494,А-2,Зона на Старите Пазарища
188,"Жилищно-търговска сграда, б.на Анри Ешкенази",ул.”Екз.Йосиф” №1а /№1/ /ул.”Цар Самуил”,Възраждане,писмо №1787 от 21.05.1976г. №215,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.318888799999968,42.7008173,64.69387358747323,14.208402464716432,1.66,23.319096132409562,42.700925951559576,А-2,Зона на Старите Пазарища
189,Жилищно-търговска сграда,ул.”Княз Борис І” №149,Възраждане,писмо №1787 от 21.05.1976г. №220,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.32022395355034,42.70123455470269,-61.31762960896303,14.087073186003291,1.0,23.32009031631773,42.70129530061989,А-2,Зона на Старите Пазарища
190,"Жилищно-търговска сграда, б.на Аврам Меворах","бул.”Г.Кирков” /""Ст.Стамболов""/ №38",Възраждане,писмо №1787 от 21.05.1976г. №233,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.319208508383213,42.701597131216396,106.14448109367618,17.52962775842276,1.0,23.319367762844642,42.701543516901395,А-2,Зона на Старите Пазарища
191,"Жилищно-търговска сграда, б.на проф.Спирков","бул.”Г.Кирков” /""Ст.Стамболов""/ №38а /ул.”Цар Симеон” №83",Възраждане,писмо №1787 от 21.05.1976г. №217,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.31933159999994,42.701796200000004,147.69400600291308,22.248312568937997,1.33,23.319483571685463,42.701658653620726,А-2,Зона на Старите Пазарища
192,"Жилищно-търговска сграда, б.на Шемтов","бул.”Г.Кирков”  /""Ст.Стамболов""/ №39, вх..А,Б",Възраждане,писмо №1787 от 21.05.1976г. №228,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.318967982748973,42.70187139941087,-146.19184588592674,28.169394794021144,1.0,23.31885901523152,42.70170821329298,А-2,Зона на Старите Пазарища
193,"Жилищно-търговска сграда, б.на Жак Мюшолам","бул.”Г.Кирков” /""Ст.Стамболов""/  №37",Възраждане,писмо №1787 от 21.05.1976г. №227,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.31890989142448,42.701495794514386,-70.54679482185901,21.92171726353338,1.0,23.318751602035015,42.70152468407528,А-2,Зона на Старите Пазарища
194,Жилищно-търговска сграда,"бул.”Г.Кирков” /""Ст.Стамболов""/ №33",Възраждане,писмо №1787 от 21.05.1976г.№226,ДВ бр.40 от 1978г. №186,,архитектурно-строителен ,за сведение ,,0,,23.31864206771252,42.701167794856595,-49.645156402277856,22.248277084685494,1.33,23.31850303629839,42.70125879126914,А-2,Зона на Старите Пазарища
195,"Жилищно-търговска сграда, б. на Иван Константинов","бул.”Г.Кирков” /""Ст.Стамболов""/ №31",Възраждане,писмо №1787 от 21.05.1976г. №225,ДВ бр.40 от 1978г. №185,,архитектурно-строителен ,местно,,0,,23.31852665453471,42.70107168625551,-42.649482804909134,20.854162623003575,1.33,23.3184182878055,42.701151941629995,А-2,Зона на Старите Пазарища
196,Жилищно-търговска сграда,"бул.”Г.Кирков” /""Ст.Стамболов""/ №29",Възраждане,п.№1787 от 21.05.1976г. №224,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.31844030160778,42.700995146340745,-61.70984963284053,15.083069099426448,1.0,23.318289529308768,42.70106133438416,А-2,Зона на Старите Пазарища
197,Жилищно-търговска сграда,"бул.”Г.Кирков” /""Ст.Стамболов""/  №27",Възраждане,писмо №1787 от 21.05.1976г. №233,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.31833595122714,42.70088429149139,-40.771138292860535,17.859017491317076,1.33,23.31818083725979,42.700979598265285,А-2,Зона на Старите Пазарища
198,Жилищно-търговска сграда,"бул.”Г.Кирков” /""Ст.Стамболов""/  №25",Възраждане,писмо №1787 от 21.05.1976г. №222,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.31823881095488,42.700824272398755,-52.95202468797842,22.889370069196207,1.0,23.31808400360993,42.70088834436284,А-2,Зона на Старите Пазарища
199,Жилищно-търговска сграда,"Ул.”Братя Миладинови” №42/ бул.”Г.Кирков” /""Ст.Стамболов""/ ",Възраждане,писмо №1787 от 21.05.1976г. №221,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.31798786276124,42.70061698408415,-14.03878253496,14.463365440197538,1.66,23.31796221394698,42.7007891131086,А-2,Зона на Старите Пазарища
200,"Жилищно-търговска сграда, б.на братя Моис Леви",ул.”Цар Симеон” №89/ ул.”Братя Миладинови”,Възраждане,писмо №1787 от 21.05.1976г.№906,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.318143869081155,42.70201896607957,142.84586139128177,15.664138357254213,1.66,23.318262461111196,42.70186942307275,А-2,Зона на Старите Пазарища
201,"Жилищно-търговска сграда, б.на Михаил Цалов",ул.”Цар Симеон” №97,Възраждане,писмо №1787 от 21.05.1976г. №909,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.31766229656455,42.70208344067552,-134.50352068736524,19.909758707230765,1.0,23.317576852865596,42.70197810929034,А-2,Зона на Старите Пазарища
202,"Жилищна сграда /вътрешна/, б.на Михаил Цалов",ул.”Цар Симеон” №97,Възраждане,писмо №1787 от 21.05.1976г. №909,,,архитектурно-строителен ,местно /предв.кат./,,0,,,,,,,23.317517985403427,42.701804674450976,А-2,Зона на Старите Пазарища
203,Жилищно-търговска сграда,ул.”Цар Симеон” №83,Възраждане,писмо №1787 от 21.05.1976г. №908,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.317903082822795,42.702051203377536,-152.15721609648935,18.521048349584227,1.0,23.317849344711263,42.701943261551435,А-2,Зона на Старите Пазарища
204,"Жилищно-търговска сграда , б.на Панайот Минков",ул.”Цар Симеон” №91/ ул.”Братя Миладинови”,Възраждане,писмо №1787 от 21.05.1976г. №907,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.31825529098069,42.70200118457007,-108.97506256246841,9.98587045603856,1.99,23.31802778234512,42.70191027739706,А-2,Зона на Старите Пазарища
205,Жилищно-търговска сграда,бул.”Хр.Ботев” №86/ ул.”Чипровци”,Възраждане,писмо №1787 от 21.05.1976г. №762,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.316518628852354,42.70158820487485,140.34632104659062,15.940186536083212,1.66,23.3166936547263,42.70143914509477,А-2,Зона на Старите Пазарища
206,Жилищно-търговска сграда,бул.”Хр.Ботев” №84,Възраждане,п.№1787 от 21.05.1976г. №763,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.31643814760332,42.701323416300454,75.99855201138637,12.840485049589939,1.66,23.31666535620228,42.70134387200211,А-2,Зона на Старите Пазарища
207,"Жилищно-търговска сграда, б.на Каназирски",бул.”Хр.Ботев” №82,Възраждане,писмо №1787 от 21.05.1976г. №764,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.31640896319243,42.70122739710764,91.17562887974341,22.42145843647477,1.0,23.316630500311852,42.70121459665218,А-2,Зона на Старите Пазарища
208,"Жилищно-търговска сграда, б.на Ленкови","ул.”Жданов” /""Пиротска""/ №40",Възраждане,писмо №1787 от 21.05.1976г. №743,ДВ бр.40 от 1978г. №443,,архитектурно-строителен ,местно,,0,,23.315427433208693,42.70032434509599,16.114657908062224,12.511121897158402,1.0,23.315470425753233,42.70045609017734,А-2,Зона на Старите Пазарища
209,"Жилищно-търговска сграда, б.на Йосиф Колев","ул.”Жданов” /""Пиротска""/ №38",Възраждане,писмо №1787 от 21.05.1976г. №744,ДВ бр.40 от 1978г. №444,,архитектурно-строителен ,местно,,0,,23.315641484701363,42.700285953929075,13.203035349383939,12.73428512657756,1.0,23.31564729564552,42.70041885206699,А-2,Зона на Старите Пазарища
210,"Жилищно-търговска сграда, б.на Колчаков","бул.”Хр.Ботев” №75/ ул.”Жданов” /""Пиротска""/",Възраждане,писмо №1787 от 21.05.1976г. №745,ДВ бр.40 от 1978г. №445,,архитектурно-строителен ,местно,,0,,23.31608920148517,42.70024266713917,-46.522784961955395,9.987592210556958,1.66,23.31585820050587,42.70040070184508,А-2,Зона на Старите Пазарища
211,"Жилищно-търговска сграда, б.на Димитър Стоянов",бул.”Хр.Ботев” №77 ,Възраждане,писмо №1787 от 21.05.1976г. №746,ДВ бр.40 от 1978г. №446,,архитектурно-строителен ,местно,,0,,23.31618454417389,42.700531111731394,-73.10719052251136,9.515322726875933,1.66,23.315942920169434,42.70058274811771,А-2,Зона на Старите Пазарища
212,"Жилищно-търговска сграда, б.на Димов",бул.”Хр.Ботев” №81,Възраждане,писмо №1787 от 21.05.1976г. №747,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.316272877217326,42.70079298144358,-80.08776775963533,6.761680043322515,1.99,23.315909154275,42.70086039286991,А-2,Зона на Старите Пазарища
213,"Административно-търговска сграда с кинозала, б.доходно здание на Яневи с кино “Екселсиор”",бул.”Хр.Ботев” №85,Възраждане,писмо №1787 от 21.05.1976г. №748,ДВ бр.40 от 1978г. №447,,архитектурно-строителен ,местно,,0,,23.316272877217326,42.70079298144358,-28.866473467572348,12.875728546957456,2.6500000000000004,23.316085055051232,42.70105155982817,А-2,Зона на Старите Пазарища
214,"Административно-търговска сграда, б.на Ив.Василев",бул.”Хр.Ботев” №89,Възраждане,писмо №1787 от 21.05.1976г. №749,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.31640896319243,42.70122739710764,-80.54121779529034,3.884004446330406,1.0,23.316152327485277,42.701277018639225,А-2,Зона на Старите Пазарища
215,"Административно-търговска сграда, б.на Еленков",бул.”Хр.Ботев” №91,Възраждане,писмо №1787 от 21.05.1976г. №750,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.31646638533175,42.70141632053792,-89.94127845074377,3.2879708420679354,1.33,23.3161899201573,42.70140811236498,А-2,Зона на Старите Пазарища
216,Жилищно-търговска сграда,бул.”Хр.Ботев” №93,Възраждане,писмо №1787 от 21.05.1976г. №751,,,архитектурно-строителен ,местно /предв.кат./,,0,,23.316492948371767,42.701503714665364,-84.57226025791802,6.508931161034543,2.3200000000000003,23.31622191477861,42.70152867979723,А-2,Зона на Старите Пазарища
